023530	롯데쇼핑	80099
000660	SK하이닉스	83135
001450	현대해상	22272
004170	신세계	217000
005930	삼성전자	59500
011070	LG이노텍	161000
012450	한화에어로스페이스	26800
023530	롯데쇼핑	80099
000660	SK하이닉스	83135
001450	현대해상	22272
004170	신세계	217000
005930	삼성전자	59500
011070	LG이노텍	161000
012450	한화에어로스페이스	26800
023530	롯데쇼핑	80099
000660	SK하이닉스	83135
001450	현대해상	22272
004170	신세계	217000
005930	삼성전자	59500
011070	LG이노텍	161000
012450	한화에어로스페이스	26800
023530	롯데쇼핑	80099
000660	SK하이닉스	83135
001450	현대해상	22272
004170	신세계	217000
005930	삼성전자	59500
011070	LG이노텍	161000
012450	한화에어로스페이스	26800
023530	롯데쇼핑	80099
000660	SK하이닉스	83135
001450	현대해상	22272
004170	신세계	217000
005930	삼성전자	59500
011070	LG이노텍	161000
012450	한화에어로스페이스	26800
023530	롯데쇼핑	80099
000660	SK하이닉스	83135
001450	현대해상	22272
004170	신세계	217000
005930	삼성전자	59500
011070	LG이노텍	161000
012450	한화에어로스페이스	26800
023530	롯데쇼핑	80099
000660	SK하이닉스	83135
001450	현대해상	22272
004170	신세계	217000
005930	삼성전자	59500
011070	LG이노텍	161000
012450	한화에어로스페이스	26800
023530	롯데쇼핑	80099
000660	SK하이닉스	83135
001450	현대해상	22272
004170	신세계	217000
005930	삼성전자	59500
011070	LG이노텍	161000
012450	한화에어로스페이스	26800
023530	롯데쇼핑	80099
